,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,다강리버빌,189㎡,서울시 광진구 광장동 137,서울시 광진구 아차산로78길 143,9.0,0.0,189.86,163.65,86,5,3,1,123000.0,,,,
1,다강리버빌,225㎡,서울시 광진구 광장동 137,서울시 광진구 아차산로78길 143,9.0,0.0,225.32,194.27,86,5,3,1,122500.0,,,,
2,다강리버빌,252,서울시 광진구 광장동 137,서울시 광진구 아차산로78길 143,9.0,0.0,252.44,217.58,86,5,3,7,123000.0,25억,,,
0,동북아스위트힐(107),104A㎡,서울시 광진구 광장동 107,서울시 광진구 아차산로78길 53,13.0,0.0,104.59,84.63,81,3,2,8,123000.0,,,,
1,동북아스위트힐(107),104B,서울시 광진구 광장동 107,서울시 광진구 아차산로78길 53,13.0,0.0,104.6,84.64,81,3,2,5,122500.0,,,,
0,동북아스위트힐(118),99,서울시 광진구 광장동 118,서울시 광진구 아차산로78길 43,17.0,0.0,99.19,83.61,84,3,2,17,123000.0,"8억 5,000",5억,,
0,삼성1차,89㎡,서울시 광진구 광장동 561,서울시 광진구 아차산로70길 17-21,165.0,0.0,89.88,66.03,73,2,1,75,123000.0,14억,"4억 5,000~5억 5,000",,
1,삼성1차,108,서울시 광진구 광장동 561,서울시 광진구 아차산로70길 17-21,165.0,0.0,108.25,79.53,73,3,1,90,122500.0,,,,
0,삼성2차,79㎡,서울시 광진구 광장동 453-1,서울시 광진구 아차산로 544,195.0,0.0,79.48,58.62,74,2,1,75,123000.0,"11억 5,000~12억 5,000",4억~5억,,
1,삼성2차,91㎡,서울시 광진구 광장동 453-1,서울시 광진구 아차산로 544,195.0,0.0,91.4,69.06,76,3,1,60,122500.0,"13억 5,000~14억 9,000",5억~6억,"1억 5,000/140~3억/120","1억 5,000/140~3억/120"
2,삼성2차,103㎡,서울시 광진구 광장동 453-1,서울시 광진구 아차산로 544,195.0,0.0,103.03,84.66,82,3,1,30,123000.0,,"6억~6억 8,000",3억/120~3억/140,3억/120~3억/140
3,삼성2차,105,서울시 광진구 광장동 453-1,서울시 광진구 아차산로 544,195.0,0.0,105.04,84.93,81,3,1,30,,,"6억 5,000",,
0,상록타워,74㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,74.44,49.65,67,1,1,24,123000.0,8억,"3억 5,000",,
1,상록타워,89A㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,89.07,59.4,67,2,1,74,122500.0,,,2억/60,2억/60
2,상록타워,89B㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,89.94,59.98,67,2,1,8,123000.0,,,,
3,상록타워,91B㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,91.27,60.86,67,2,1,3,,,,,
4,상록타워,91A㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,91.24,60.86,67,2,1,1,,,,,
5,상록타워,125A㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,125.9,83.96,67,3,2,22,,,"5억 4,000",,
6,상록타워,126B㎡,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,126.86,84.6,67,3,2,22,,,,"5,000/200","5,000/200"
7,상록타워,127,서울시 광진구 광장동 570,서울시 광진구 아차산로 540,200.0,0.0,127.31,84.9,67,3,2,46,,"13억~13억 5,000",,"5,000/200~2억/150","5,000/200~2억/150"
0,연세리버빌6차,176㎡,서울시 광진구 광장동 184-1,서울시 광진구 아차산로78가길 31,19.0,0.0,176.89,161.01,91,4,2,1,,,,,
1,연세리버빌6차,187㎡,서울시 광진구 광장동 184-1,서울시 광진구 아차산로78가길 31,19.0,0.0,187.88,171.01,91,4,2,1,,,,,
2,연세리버빌6차,191A㎡,서울시 광진구 광장동 184-1,서울시 광진구 아차산로78가길 31,19.0,0.0,191.24,174.05,91,4,2,8,123000,19억,,,
3,연세리버빌6차,192B㎡,서울시 광진구 광장동 184-1,서울시 광진구 아차산로78가길 31,19.0,0.0,192.1,174.83,91,4,2,8,,,"9억 5,000",5억/200,5억/200
4,연세리버빌6차,227,서울시 광진구 광장동 184-1,서울시 광진구 아차산로78가길 31,19.0,0.0,227.64,207.2,91,4,2,1,,,,,
0,워커힐,164㎡,서울시 광진구 광장동 145-8,서울시 광진구 아차산로 637,576.0,0.0,164.03,162.41,99,5,2,144,123000.0,28억~32억,9억~12억,3억/250,3억/250
1,워커힐,174㎡,서울시 광진구 광장동 145-8,서울시 광진구 아차산로 637,576.0,0.0,174.88,166.91,95,5,2,108,122500.0,30억~32억,14억,2억/450,2억/450
2,워커힐,218㎡,서울시 광진구 광장동 145-8,서울시 광진구 아차산로 637,576.0,0.0,218.09,196,90,4,2,180,123000.0,"32억 5,000~40억","9억 5,000~10억",4억/250,4억/250
3,워커힐,250,서울시 광진구 광장동 145-8,서울시 광진구 아차산로 637,576.0,0.0,250.06,226.45,91,5,2,144,,"30억 5,000~37억",10억~13억,7억/150~8억/150,7억/150~8억/150
0,워커힐리버빌,238㎡,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,238.08,220.29,93,5,2,1,122500.0,,,,
1,워커힐리버빌,250㎡,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,250.87,232.11,93,5,2,1,123000.0,,,,
2,워커힐리버빌,254A㎡,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,254.44,235.41,93,5,2,8,123000.0,,,,
3,워커힐리버빌,254B㎡,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,254.61,235.56,93,5,2,6,,,,,
4,워커힐리버빌,255C㎡,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,255.04,235.98,93,5,2,1,,,,,
5,워커힐리버빌,256,서울시 광진구 광장동 124,서울시 광진구 아차산로78가길 3,18.0,0.0,256.43,237.27,93,5,2,1,,,,,
0,워커힐팰리스(주상복합),94A㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,94.89,84.66,89,3,2,7,123000.0,11억,,,
1,워커힐팰리스(주상복합),95B㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,95.25,84.98,89,3,2,7,122500.0,,,,
2,워커힐팰리스(주상복합),104B㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,104.82,93.52,89,3,2,7,,12억,,,
3,워커힐팰리스(주상복합),104A㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,104.73,92.28,88,3,2,1,123000,,,,
4,워커힐팰리스(주상복합),112㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,112.84,100.67,89,3,2,7,,12억,5억~6억,,
5,워커힐팰리스(주상복합),118B㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,118.48,104.42,88,3,2,6,,,6억,5억/50~5억/110,5억/50~5억/110
6,워커힐팰리스(주상복합),118A㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,118.41,104.35,88,3,2,1,,,,,
7,워커힐팰리스(주상복합),131㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,131.82,116.18,88,3,2,6,,14억,,,
8,워커힐팰리스(주상복합),150㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,150,133.83,89,3,2,3,,,,,
9,워커힐팰리스(주상복합),228㎡,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,228.41,203.78,89,6,3,1,,,,,
10,워커힐팰리스(주상복합),236,서울시 광진구 광장동 125,서울시 광진구 아차산로78길 18,48.0,0.0,236.31,210.83,89,6,3,2,,,,,
0,워커힐푸르지오,90㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,90.21,65.66,73,3,2,20,123000.0,"12억 8,000",,4억/130,4억/130
1,워커힐푸르지오,91A㎡,서울시 광진구 광장동 148-4,서울시 광진구 아차산로78길 10,200.0,0.0,91.33,65.63,72,3,2,20,,"12억 2,000",6억,1억/200,1억/200
