,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,더프라임(도시형),22㎡,서울시 강서구 등촌동 649-12,서울시 강서구 공항대로 505,29.0,0.0,22.89,19.57,85,1,1,27,97500.0,,,,
1,더프라임(도시형),24,서울시 강서구 등촌동 649-12,서울시 강서구 공항대로 505,29.0,0.0,24.7,20.11,81,1,1,2,97500.0,,,,
0,더해담(도시형),32A㎡,서울시 강서구 등촌동 511-2,서울시 강서구 등촌로 197,16.0,0.0,32.5,24.01,74,1,1,8,97500.0,,,,
1,더해담(도시형),32B㎡,서울시 강서구 등촌동 511-2,서울시 강서구 등촌로 197,16.0,0.0,32.63,24.13,74,1,1,4,99000.0,,,,
2,더해담(도시형),32C,서울시 강서구 등촌동 511-2,서울시 강서구 등촌로 197,16.0,0.0,32.66,24.14,74,1,1,4,97500.0,,,,
0,도원더52A동(도시형),22,서울시 강서구 등촌동 565-6,서울시 강서구 등촌로 79,20.0,0.0,22.5,17.53,78,1,1,20,97500.0,,,,
0,동남II(주상복합),31㎡,서울시 강서구 등촌동 631-17,서울시 강서구 화곡로68길 149,20.0,0.0,31.22,19.08,61,1,1,8,97500.0,,,,
1,동남II(주상복합),31A㎡,서울시 강서구 등촌동 631-17,서울시 강서구 화곡로68길 149,20.0,0.0,31.49,19.24,61,1,1,4,97500.0,,,,
2,동남II(주상복합),32B㎡,서울시 강서구 등촌동 631-17,서울시 강서구 화곡로68길 149,20.0,0.0,32.93,20.13,61,1,1,4,99000.0,,,,
3,동남II(주상복합),33C,서울시 강서구 등촌동 631-17,서울시 강서구 화곡로68길 149,20.0,0.0,33.19,20.29,61,1,1,4,100500.0,,,,
0,동양하우징(도시형),29A㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,29.49,22.85,77,1,1,30,97500.0,"3억 2,500",,,
1,동양하우징(도시형),29B㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,29.94,23.38,78,1,1,30,97500.0,"3억 2,000",,,
2,동양하우징(도시형),31C㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,31.32,24.55,78,1,1,4,99000.0,,"2억 7,300~2억 9,500",,
3,동양하우징(도시형),32A㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,32.1,25.21,79,1,1,4,100500.0,,,,
4,동양하우징(도시형),32B㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,32.75,25.71,79,1,1,4,107000.0,,,,
5,동양하우징(도시형),33C㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,33.96,26.75,79,1,1,4,,,,,
6,동양하우징(도시형),47㎡,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,47.67,37.93,80,1,1,1,,,,,
7,동양하우징(도시형),57,서울시 강서구 등촌동 721,서울시 강서구 등촌로 65,78.0,0.0,57.61,45.56,79,1,1,1,,,,,
0,두보,72D㎡,서울시 강서구 등촌동 365-195,서울시 강서구 등촌로51길 128,64.0,0.0,72.9,57.57,79,3,1,3,99000.0,,,,
1,두보,72㎡,서울시 강서구 등촌동 365-195,서울시 강서구 등촌로51길 128,64.0,0.0,72.8,57.47,79,3,1,1,97500.0,,,,
2,두보,73C㎡,서울시 강서구 등촌동 365-195,서울시 강서구 등촌로51길 128,64.0,0.0,73.99,58.41,79,3,1,4,100500.0,,"2억 8,000",,
3,두보,75A㎡,서울시 강서구 등촌동 365-195,서울시 강서구 등촌로51길 128,64.0,0.0,75.36,59.49,79,3,1,46,97500.0,"5억 3,000",,,
4,두보,75B,서울시 강서구 등촌동 365-195,서울시 강서구 등촌로51길 128,64.0,0.0,75.34,59.49,79,3,1,10,107000.0,,,,
0,두보하이츠,66㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,66.24,44.49,67,3,1,24,,,,,
1,두보하이츠,69㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,69.24,46.74,68,3,1,24,97500,,,,
2,두보하이츠,73㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,73.68,50.07,68,3,1,24,99000,,"2억 8,000",,
3,두보하이츠,76㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,76.68,52.32,68,3,1,18,100500,,,,
4,두보하이츠,77B㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,77.88,53.22,68,3,1,54,,,,,
5,두보하이츠,78A㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,78.36,48.18,61,3,1,3,97500,,,,
6,두보하이츠,84A㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,84.6,58.26,69,3,1,18,,"5억 1,000",,,
7,두보하이츠,86C㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,86.76,59.88,69,3,1,24,,,,,
8,두보하이츠,86B㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,86.4,59.61,69,3,1,12,,,,,
9,두보하이츠,88㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,88.08,55.47,63,3,1,3,,,,,
10,두보하이츠,91A㎡,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,91.08,57.72,63,3,1,6,,,,,
11,두보하이츠,91B,서울시 강서구 등촌동 515-44,서울시 강서구 등촌로39가길 42,213.0,0.0,91.92,58.35,63,3,1,3,,,,,
0,등촌3차보람쉬움,108B㎡,서울시 강서구 등촌동 641-4,서울시 강서구 화곡로66길 80,65.0,0.0,108.14,84.51,78,3,2,42,99000.0,,,,
1,등촌3차보람쉬움,108A㎡,서울시 강서구 등촌동 641-4,서울시 강서구 화곡로66길 80,65.0,0.0,108.49,84.09,78,3,2,12,97500.0,9억,,,
2,등촌3차보람쉬움,142,서울시 강서구 등촌동 641-4,서울시 강서구 화곡로66길 80,65.0,0.0,142.28,112.05,79,4,2,11,97500.0,"9억 8,000",,,
0,등촌대림,113㎡,서울시 강서구 등촌동 694,서울시 강서구 공항대로39길 100,680.0,0.0,113.91,89.97,79,3,2,296,97500.0,"11억 9,000~14억","5억 5,000~6억 8,000","3억 5,000/90","3억 5,000/90"
1,등촌대림,151,서울시 강서구 등촌동 694,서울시 강서구 공항대로39길 100,680.0,0.0,151.17,123.72,82,4,2,384,97500.0,14억~17억,7억~8억,1억/240~6억/80,1억/240~6억/80
0,등촌동성,120㎡,서울시 강서구 등촌동 691-1,서울시 강서구 강서로68길 108,457.0,0.0,120.65,101.88,84,3,2,228,97500.0,"10억 5,000~13억","5억 3,000~6억 5,000","4억 5,000/85","4억 5,000/85"
1,등촌동성,159㎡,서울시 강서구 등촌동 691-1,서울시 강서구 강서로68길 108,457.0,0.0,159.79,134.94,84,4,2,129,97500.0,"13억 5,000~15억","6억~7억 5,000",6억/30,6억/30
2,등촌동성,177,서울시 강서구 등촌동 691-1,서울시 강서구 강서로68길 108,457.0,0.0,177.68,150.05,84,5,2,100,99000.0,14억~16억,"7억 3,000~8억",2억/200,2억/200
0,등촌마을서광,79A㎡,서울시 강서구 등촌동 638,서울시 강서구 공항대로45길 68-6,430.0,0.0,79.2,59.67,75,3,1,208,97500.0,"6억 9,500~8억 2,000","4억 5,000",,
1,등촌마을서광,79B㎡,서울시 강서구 등촌동 638,서울시 강서구 공항대로45길 68-6,430.0,0.0,79.58,59.96,75,3,1,19,99000.0,,"4억 5,000",,
2,등촌마을서광,107B㎡,서울시 강서구 등촌동 638,서울시 강서구 공항대로45길 68-6,430.0,0.0,107.67,84.93,79,3,2,185,97500.0,"9억 5,000~10억 5,000","4억 5,000~6억","2억 5,000/90~3억/80","2억 5,000/90~3억/80"
3,등촌마을서광,107A,서울시 강서구 등촌동 638,서울시 강서구 공항대로45길 68-6,430.0,0.0,107.59,84.87,79,3,2,18,100500.0,,,,
0,등촌보람2차,75㎡,서울시 강서구 등촌동 640,서울시 강서구 화곡로 390,101.0,0.0,75.25,58.93,78,3,1,28,97500.0,7억,,,
1,등촌보람2차,104,서울시 강서구 등촌동 640,서울시 강서구 화곡로 390,101.0,0.0,104.98,83.07,79,3,2,73,97500.0,10억,"5억 5,000~6억",2억/100,2억/100
0,등촌보람6차,79㎡,서울시 강서구 등촌동 716,서울시 강서구 화곡로66길 174,35.0,0.0,79.28,61.9,78,3,2,18,97500.0,,4억,,
1,등촌보람6차,102,서울시 강서구 등촌동 716,서울시 강서구 화곡로66길 174,35.0,0.0,102.45,78.01,76,3,2,17,97500.0,"7억 5,000~8억",,,
0,등촌보람쉬움5차(더하임),76㎡,서울시 강서구 등촌동 633-28,서울시 강서구 공항대로61길 43,45.0,0.0,76.46,59.79,78,3,2,19,97500.0,"7억 5,000","4억 5,000",,
1,등촌보람쉬움5차(더하임),103,서울시 강서구 등촌동 633-28,서울시 강서구 공항대로61길 43,45.0,0.0,103.45,84.97,82,3,2,26,97500.0,,,,
0,등촌성원,114A㎡,서울시 강서구 등촌동 670-2,서울시 강서구 강서로56길 80,16.0,0.0,114.04,98.21,86,3,2,2,97500.0,,,,
1,등촌성원,115B㎡,서울시 강서구 등촌동 670-2,서울시 강서구 강서로56길 80,16.0,0.0,115.3,99.29,86,3,2,12,99000.0,7억~8억,,"2억 5,000/120~3억/100","2억 5,000/120~3억/100"
2,등촌성원,183,서울시 강서구 등촌동 670-2,서울시 강서구 강서로56길 80,16.0,0.0,183.26,157.81,86,4,2,2,97500.0,,,,
0,등촌스타팰리스,73,서울시 강서구 등촌동 636-28,서울시 강서구 화곡로66길 145-7,8.0,0.0,73.45,64.3,88,3,1,8,97500.0,5억 500,5억,,
0,등촌신원,106㎡,서울시 강서구 등촌동 641,서울시 강서구 화곡로66길 50,68.0,0.0,106.4,59.99,56,3,1,34,97500.0,"6억 8,000~7억","3억 8,000~4억 3,000",,
1,등촌신원,144,서울시 강서구 등촌동 641,서울시 강서구 화곡로66길 50,68.0,0.0,144.66,84.95,59,3,2,34,97500.0,"7억 2,000",,,
0,등촌아이파크,105C㎡,서울시 강서구 등촌동 715,서울시 강서구 등촌로 163,1653.0,0.0,105.25,84.99,81,3,2,615,99000.0,"9억 5,000~12억","5억 5,000~7억 5,000","3억 5,000/120~5억/80","3억 5,000/120~5억/80"
